Entity,Code,Year,Deaths - Malaria - Sex: Both - Age: Under 5 (Number),Deaths - HIV/AIDS - Sex: Both - Age: Under 5 (Number),Deaths - Meningitis - Sex: Both - Age: Under 5 (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: Under 5 (Number),Deaths - Other neonatal disorders - Sex: Both - Age: Under 5 (Number),Deaths - Whooping cough - Sex: Both - Age: Under 5 (Number),Deaths - Lower respiratory infections - Sex: Both - Age: Under 5 (Number),Deaths - Congenital birth defects - Sex: Both - Age: Under 5 (Number),Deaths - Measles - Sex: Both - Age: Under 5 (Number),Deaths - Neonatal sepsis and other neonatal infections - Sex: Both - Age: Under 5 (Number),Deaths - Neonatal encephalopathy due to birth asphyxia and trauma - Sex: Both - Age: Under 5 (Number),Deaths - Drowning - Sex: Both - Age: Under 5 (Number),Deaths - Tuberculosis - Sex: Both - Age: Under 5 (Number),Deaths - Neonatal preterm birth - Sex: Both - Age: Under 5 (Number),Deaths - Diarrheal diseases - Sex: Both - Age: Under 5 (Number),Deaths - Neoplasms - Sex: Both - Age: Under 5 (Number),Deaths - Syphilis - Sex: Both - Age: Under 5 (Number),Deaths - All causes - Sex: Both - Age: 7-27 days (Number),Deaths - All causes - Sex: Both - Age: 1-4 years (Number),Deaths - All causes - Sex: Both - Age: 0-6 days (Number),Deaths - All causes - Sex: Both - Age: 28-364 days (Number),"Mortality rate, under-5, female (per 1,000 live births)","Mortality rate, under-5, male (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",$1.90 per day - share of population below poverty line,"Current health expenditure per capita, PPP (current international $)",Population (historical estimates),Access to electricity (% of population) [EG.ELC.ACCS.ZS],Adjusted net national income (annual % growth) [NY.ADJ.NNTY.KD.ZG],Adjusted net national income (current US$) [NY.ADJ.NNTY.CD],Adjusted net national income per capita (annual % growth) [NY.ADJ.NNTY.PC.KD.ZG],Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],"Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]","Government expenditure on education, total (% of government expenditure) [SE.XPD.TOTL.GB.ZS]",Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS],Poverty gap at $3.20 a day (2011 PPP) (%) [SI.POV.LMIC.GP],Poverty gap at $5.50 a day (2011 PPP) (%) [SI.POV.UMIC.GP]
Afghanistan,AFG,2008,56,39,1970,1807,11826,3960,20911,17968,4691,947,2289,791,671,8132,7986,601,276,11750,21428,24473,38488,9.180000305,9.940000153,9.569999695,,131.1453705,27722281,42.40000153,,,,,8.932,16.64999962,,,
Afghanistan,AFG,2009,48,40,1771,1611,11751,3630,19508,17469,5922,961,2276,702,599,8095,7084,568,278,11290,19925,24427,37114,8.790000153,9.530000305,9.169999695,,148.1216583,28394806,46.74005127,,11300000000,,397.9601058,8.584,17.30999947,,,
Afghanistan,AFG,2010,72,42,1724,1551,11769,3519,18871,17436,4797,998,2298,684,565,8168,6624,577,286,10962,18807,24615,36001,8.4,9.130000305,8.780000305,,143.6694946,29185511,42.70000076,,14480000000,,496.1365933,8.25,17.0675602,,,
Afghanistan,AFG,2011,69,45,1649,1442,11724,3463,18068,17278,4770,1030,2317,638,522,8291,6156,568,295,10684,17828,24861,35108,8.030000305,8.740000153,8.4,,143.0915222,30117411,43.2220192,,16270000000,,540.2190779,7.936,16.04842949,,,
Afghanistan,AFG,2012,15,48,1586,1326,11661,3191,17357,17129,5015,1065,2338,597,483,8406,5763,561,306,10417,17290,25095,34270,7.669999695,8.380000305,8.030000305,,151.917984,31161378,69.09999847,,18230000000,,585.0190579,7.645,14.61999989,,,
Afghanistan,AFG,2013,25,52,1612,1315,11633,3457,17410,17391,2346,1103,2370,640,484,8538,5745,608,324,10162,16644,25279,33482,7.319999695,8.040000153,7.690000153,,174.0594788,32269592,68.29064941,,18500000000,,573.2951318,7.38,14.10280037,,,
Afghanistan,AFG,2014,39,57,1299,1255,11490,3415,16917,17313,1901,1120,2374,634,468,8590,5517,619,339,9905,16945,25253,32719,6.990000153,7.709999847,7.359999847,,198.2940979,33370803,89.5,,18830000000,,564.2656976,7.141,14.46592999,,,
Afghanistan,AFG,2015,49,64,1195,1160,11284,3276,16188,17013,2168,1132,2367,610,439,8587,5280,610,342,9678,17207,25176,31769,6.669999695,7.390000153,7.040000153,,211.5872955,34413603,71.5,,17790000000,,516.9467434,6.929,12.50899982,,,
Afghanistan,AFG,2016,66,71,1163,1111,11215,3294,15721,16910,1422,1170,2388,609,419,8601,5151,621,350,9542,17220,25313,30887,6.379999924,7.1,6.75,,234.140213,35383028,97.69999695,,16940000000,,478.7606081,6.742,13.0909996,,,
Afghanistan,AFG,2017,67,79,1050,1036,11158,3098,14956,16796,1432,1198,2401,586,393,8621,5104,618,363,9314,15632,25258,29813,6.109999847,6.819999695,6.480000305,,259.7868347,36296111,97.69999695,,17640000000,,486.0024811,6.575,12.03320026,,,
Afghanistan,AFG,2018,77,88,969,957,11066,2931,14104,16521,2250,1214,2398,542,356,8593,4381,596,365,10143,14180,28179,31958,5.870000076,6.580000305,6.229999924,,294.3091125,37171922,96.61613464,,16820000000,,452.4920718,6.423,11.69606018,,,
Albania,ALB,1990,0,0,72,33,310,25,1429,288,176,5,131,34,4,397,68,44,10,208,849,989,1524,3.690000153,4.490000153,4.1,0.9605859,,3286070,100,,1551000000,,471.9245943,5.985,,,,
Albania,ALB,1991,0,0,76,37,310,29,1472,290,0,5,127,38,4,394,69,49,10,195,827,974,1507,3.520000076,4.309999847,3.929999924,5.227661,,3280397,100,,808200000,,247.3988227,6.073,,,,
Albania,ALB,1992,0,0,74,39,307,30,1416,294,0,5,122,38,4,390,66,48,10,183,809,962,1475,3.379999924,4.15,3.779999924,7.292373,,3245887,100,,439800000,,135.4464791,6.155,,,,
Albania,ALB,1993,0,0,70,41,310,26,1331,299,0,4,118,37,3,382,59,47,9,174,775,952,1419,3.259999847,4.009999847,3.640000153,4.572057,,3195196,100,,1018000000,,315.4352247,6.216,,,,
Albania,ALB,1994,0,0,64,42,324,23,1207,298,0,4,110,36,3,372,68,45,9,168,717,934,1340,3.139999962,3.870000076,3.509999847,3.349108,,3146518,100,,1629000000,,507.8664745,6.25,,,,
Albania,ALB,1995,0,0,56,43,323,18,1047,295,0,4,99,32,2,360,34,40,8,161,616,892,1197,3.020000076,3.729999924,3.390000153,1.482852,,3112923,100,,2127000000,,667.2346683,6.25,,,,
Albania,ALB,1996,0,0,49,40,327,12,896,288,3,4,94,28,2,345,26,37,7,160,523,856,1071,2.9,3.6,3.259999847,0.920669,,3098699,100,,2891000000,,912.5536255,6.213,,0.1,2.1,12.8
Albania,ALB,1997,0,0,41,37,356,10,770,293,6,3,94,22,2,341,21,34,7,171,587,881,988,2.779999924,3.459999847,3.129999924,2.907862,,3099747,100,,2017000000,,640.6670815,6.147,11.15338993,,,
Albania,ALB,1998,0,0,36,32,393,8,667,296,4,3,94,19,1,328,16,32,7,169,374,877,888,2.660000038,3.320000076,3,3.787914,,3110699,100,5.689296277,2339000000,6.35653274,747.635471,6.067,9.624070168,,,
Albania,ALB,1999,0,0,30,26,401,7,548,269,2,2,85,16,1,276,12,29,7,153,327,785,769,2.529999924,3.170000076,2.860000038,3.426732,,3122700,100,14.97787652,2946000000,15.70840248,947.6392332,5.983,9.682459831,,,
Albania,ALB,2000,0,0,25,18,392,7,435,244,1,2,75,13,1,228,9,26,6,137,285,708,627,2.4,3.029999924,2.720000076,2.600918,275.7971802,3129246,100,11.24584046,3205000000,11.95713776,1037.543537,5.914,10.13702965,,,
Albania,ALB,2001,0,0,21,13,382,7,346,231,0,2,67,11,1,200,8,24,5,128,245,669,514,2.270000076,2.879999924,2.579999924,2.036262,300.2756958,3129701,100,9.937745734,3624000000,10.9743354,1184.246773,5.879,10.58193016,,,
Albania,ALB,2002,0,0,18,9,370,6,283,222,0,2,60,9,1,176,6,22,5,123,215,631,427,2.139999962,2.720000076,2.439999962,1.570843,314.3254395,3126183,100,3.308299733,3982000000,3.61856222,1305.141576,5.891,9.886919975,0.3,2.9,15.1
Albania,ALB,2003,0,0,15,7,347,4,233,217,0,2,51,7,0,162,5,21,4,119,194,595,352,2.010000038,2.570000076,2.3,1.117015,343.9441833,3118017,100,5.167428855,5153000000,5.561648943,1695.27993,5.952,10.57359982,,,
Albania,ALB,2004,0,0,12,5,316,4,190,207,0,2,44,6,0,147,4,20,4,112,176,550,287,1.870000076,2.4,2.15,1.052985,358.1113586,3104893,100,6.018239605,6557000000,6.462250279,2166.21478,6.061,10.70316029,,,
Albania,ALB,2005,0,0,11,4,284,4,159,198,0,2,41,5,0,137,4,19,3,107,164,507,238,1.739999962,2.239999962,2,0.8605271,362.5319824,3086810,100,3.774538932,7323000000,4.307008166,2431.689063,6.206,11.35797024,0.1,1.8,10.6
Albania,ALB,2006,0,0,10,3,257,3,136,195,0,1,38,5,0,128,3,19,3,103,155,471,205,1.610000038,2.079999924,1.85,0.6383999,385.0095215,3063021,100,7.094161223,8188000000,7.771966255,2736.130794,6.365,10.93295002,,,
Albania,ALB,2007,0,0,8,3,231,3,116,186,0,1,35,5,0,119,3,18,3,95,147,433,179,1.5,1.910000038,1.710000038,0.4377521,449.8294067,3033993,100,3.668022348,9588000000,4.454428804,3228.26435,6.518,11.17718983,,,
Albania,ALB,2008,0,0,7,3,213,3,104,177,0,1,33,5,0,113,3,18,3,88,145,406,160,1.389999962,1.75,1.580000019,0.3136496,415.0636597,3002683,100,6.494519855,11300000000,7.314841369,3833.999363,6.65,,0.1,0.8,7.4
Albania,ALB,2009,0,0,6,2,194,2,94,168,0,1,31,5,0,105,2,18,3,80,142,374,143,1.289999962,1.6,1.45,0.4209161,399.6788025,2973044,100,0.529236854,10280000000,1.208985215,3511.505818,6.756,,,,
Albania,ALB,2010,0,0,6,2,176,2,88,157,0,1,30,5,0,98,2,17,3,72,144,345,131,1.189999962,1.460000038,1.330000019,0.6054053,451.8820496,2948029,100,5.129187617,10180000000,5.652411776,3494.653832,6.841,,,,
Albania,ALB,2011,0,0,4,2,166,2,87,153,0,1,28,5,0,94,2,18,3,67,154,328,127,1.089999962,1.330000019,1.210000038,0.6872971,485.5834961,2928601,100,0.258308791,10830000000,0.52838413,3727.804846,6.915,12.84000015,,,
Albania,ALB,2012,0,0,4,2,151,2,87,145,0,1,26,5,0,87,2,19,3,59,164,302,120,1.010000038,1.219999981,1.119999981,0.8497544,529.6322021,2914091,99.90000153,-0.869166238,10160000000,-0.705315372,3502.963901,6.996,13.60999966,0.2,1.3,8.6
Albania,ALB,2013,0,0,4,2,135,3,86,136,0,1,24,6,0,79,2,19,3,52,174,274,113,0.95,1.130000019,1.039999962,1.213316,567.6047974,2903788,100,2.712044067,10890000000,2.900396714,3761.538493,7.096,12.12390995,,,
Albania,ALB,2014,0,0,4,2,121,3,85,127,0,1,22,7,0,72,2,20,3,44,183,248,105,0.9,1.069999981,0.989999962,1.580897,618.1141968,2896307,99.94999695,0.646662347,11110000000,0.855264119,3845.48289,7.219,12.73999977,0.2,2.5,11.7
Albania,ALB,2015,0,0,4,2,109,3,83,120,1,1,20,6,0,66,2,20,3,39,186,227,98,0.880000019,1.030000019,0.960000038,1.126756,568.918396,2890524,99.98000336,0.046616996,9412000000,0.338383148,3267.258027,7.367,11.17755032,0,0.9,6.2
Albania,ALB,2016,0,0,4,2,102,3,80,114,0,1,19,6,0,62,2,20,3,36,182,213,93,0.860000038,1.019999981,0.939999962,0.858683,591.6696167,2886427,99.88999939,3.132162166,9903000000,3.297182174,3443.203142,7.534,13.59696007,0,0.9,6.3
Albania,ALB,2017,0,0,3,2,97,3,75,108,0,1,18,6,0,58,2,19,2,34,172,202,89,0.860000038,1.019999981,0.939999962,1.266547,639.8234863,2884169,99.88999939,2.173445789,10670000000,2.267460278,3713.297258,7.714,12.39080048,0.1,0.9,6
Albania,ALB,2018,0,0,3,2,92,3,70,102,2,1,18,5,0,55,2,18,2,33,161,192,85,0.869999981,1.030000019,0.95,1.13801,726.9824829,2882735,100,3.695397564,12380000000,3.951563228,4319.042582,7.898,,0,0.6,4.2
Algeria,DZA,1990,0,15,497,316,3326,628,5070,10486,2599,445,1977,310,94,11900,2666,182,163,6461,6742,13487,19201,4.479999924,5.320000076,4.909999847,5.051997,,25758872,,0.55486658,48040000000,-1.99299927,1864.988498,6.207,,,,
Algeria,DZA,1991,0,17,464,302,3231,552,4662,10100,2428,439,1918,292,84,11560,2362,177,161,6203,6379,13241,17891,4.35,5.170000076,4.770000076,6.265288,,26400468,,0.565358305,35740000000,-1.878626083,1353.76388,6.035,,,,
Algeria,DZA,1992,0,18,436,287,3131,490,4321,9722,2272,432,1861,279,76,11231,2130,172,159,5981,6126,12981,16725,4.25,5.05,4.659999847,5.830436,,27028330,,-0.998381903,38500000000,-3.298167127,1424.431328,5.887,,,,
Algeria,DZA,1993,0,20,409,273,3027,461,4016,9357,2131,424,1805,267,69,10931,1924,166,157,5774,5894,12746,15650,4.15,4.929999924,4.55,5.956131,,27635517,,-7.470789168,39580000000,-9.503772084,1432.214928,5.752,,,,
Algeria,DZA,1994,0,22,380,254,2902,419,3689,8942,1988,415,1741,254,61,10576,1755,160,154,5520,5765,12483,14552,4.05,4.809999847,4.440000153,6.247525,,28213777,,-0.247695752,33320000000,-2.292185132,1180.983319,5.624,,,,
Algeria,DZA,1995,0,24,352,236,2777,354,3364,8520,1841,405,1672,238,54,10185,1595,153,152,5231,5500,12178,13465,3.95,4.690000153,4.329999924,5.627692,,28757788,,0.253723412,32210000000,-1.64277601,1120.044421,5.499,,1.1,6.4,20.2
Algeria,DZA,1996,0,25,326,217,2686,312,3075,8169,1694,396,1608,223,47,9838,1401,147,152,4965,5009,11896,12452,3.85,4.590000153,4.229999924,6.26237,,29266415,,0.654148497,34860000000,-1.095140495,1191.126416,5.375,,,,
Algeria,DZA,1997,0,27,313,205,2637,291,2902,7983,983,390,1555,227,43,9529,1299,151,154,4747,5005,11680,11617,3.759999847,4.5,4.140000153,6.828118,,29742980,,3.407295524,36960000000,1.75042396,1242.646164,5.257,,,,
Algeria,DZA,1998,0,30,300,192,2611,256,2714,7765,721,384,1506,218,39,9235,1184,149,158,4560,4675,11476,10890,3.7,4.429999924,4.070000076,6.388433,,30192750,,4.063201441,38870000000,2.513011209,1287.395153,5.148,,,,
Algeria,DZA,1999,0,32,280,176,2615,234,2537,7585,561,379,1463,210,35,8983,1089,146,164,4385,4212,11329,10258,3.690000153,4.340000153,4.020000076,5.770271,,30623406,,0.533896624,37360000000,-0.879908417,1219.981866,5.05,,,,
Algeria,DZA,2000,0,35,266,162,2641,211,2373,7448,404,377,1426,199,32,8788,989,145,168,4224,4102,11334,9706,3.670000076,4.25,3.970000076,5.280372,294.7033081,31042238,98.97309875,15.94323359,39740000000,14.37888967,1280.191203,4.961,,,,
Algeria,DZA,2001,0,39,253,145,2644,197,2213,7312,202,377,1388,189,28,8594,886,144,172,4036,3877,11319,9130,3.6,4.159999847,3.890000153,4.419084,336.7770691,31451513,98.96687317,7.554051681,41540000000,6.154462908,1320.76317,4.882,,,,
Algeria,DZA,2002,0,43,239,125,2637,188,2065,7156,233,377,1360,175,26,8462,778,140,175,3883,3684,11355,8655,3.470000076,4.079999924,3.779999924,3.578871,346.6662598,31855110,98.95305634,4.156115236,42280000000,2.836480941,1327.259583,4.814,,,,
Algeria,DZA,2003,0,47,231,108,2632,176,1962,7070,224,380,1347,168,24,8428,689,140,178,3774,3696,11462,8340,3.4,3.890000153,3.65,3.041048,360.7997131,32264159,98.93401337,8.652580364,49520000000,7.275069506,1534.830026,4.757,,,,
Algeria,DZA,2004,0,50,225,95,2612,175,1880,7018,44,384,1338,164,23,8402,622,144,181,3633,3399,11573,7967,3.290000153,3.709999847,3.509999847,2.434288,375.3529358,32692153,98.91207886,6.450040062,61360000000,5.056434128,1876.902999,4.71,,,,
Algeria,DZA,2005,0,55,216,85,2576,162,1781,6925,31,388,1332,157,22,8391,555,144,181,3442,3271,11744,7659,3.15,3.55,3.359999847,2.032179,368.9915161,33149720,98.88961029,9.188144514,68520000000,7.681015895,2066.985784,4.674,,,,
Algeria,DZA,2006,0,60,206,75,2530,163,1678,6829,35,393,1326,150,20,8398,510,143,175,3229,3166,11950,7384,3.029999924,3.379999924,3.209999847,1.745856,395.0982971,33641007,98.86901093,10.35965512,78060000000,8.747983269,2320.382383,4.651,,,,
Algeria,DZA,2007,0,66,196,66,2487,154,1580,6714,45,399,1315,142,19,8369,470,143,161,3018,3088,12109,7093,2.910000038,3.240000153,3.070000076,1.400125,470.4560547,34166976,98.85293579,8.755457754,94990000000,7.081268052,2780.169951,4.639,,,,
Algeria,DZA,2008,0,59,175,59,2473,152,1489,6618,71,404,1306,135,18,8332,435,143,144,2824,2994,12253,6830,2.810000038,3.079999924,2.95,1.063206,531.2504272,34730604,99.30000305,6.498302747,1.20E+11,4.769987703,3466.683159,4.637,11.42835045,,,
Algeria,DZA,2009,0,57,166,53,2495,158,1405,6511,175,408,1290,128,17,8232,401,140,129,2681,2935,12310,6627,2.679999924,2.989999962,2.839999962,0.8156431,681.8428345,35333882,98.84518433,-1.996152595,1.04E+11,-3.669435056,2951.840955,4.643,14.34000015,,,
Algeria,DZA,2010,0,54,160,49,2535,183,1339,6436,169,410,1265,123,16,8044,373,141,118,2609,2847,12179,6473,2.589999962,2.889999962,2.739999962,0.6266743,670.1160889,35977451,98.8589325,15.79539252,1.24E+11,13.72403052,3432.705669,4.656,,,,
Algeria,DZA,2011,0,57,154,46,2554,203,1280,6373,177,410,1236,118,15,7856,354,140,111,2579,2799,11981,6361,2.520000076,2.810000038,2.670000076,0.4702092,711.1350098,36661438,98.88803101,1.690579558,1.46E+11,-0.206646471,3987.841393,4.67,,0.2,0.7,6.5
Algeria,DZA,2012,0,60,149,43,2524,228,1223,6262,184,410,1203,113,14,7639,338,139,105,2534,2741,11700,6229,2.479999924,2.75,2.620000076,0.4155152,798.2677002,37383899,98.7646637,8.38255347,1.54E+11,6.288010898,4111.395657,4.685,,,,
Algeria,DZA,2013,0,54,146,41,2496,242,1194,6219,199,410,1184,111,14,7549,326,140,101,2517,2713,11555,6178,2.439999962,2.710000038,2.579999924,0.3807037,788.0767822,38140135,99.0022049,0.467906793,1.56E+11,-1.524153486,4082.313815,4.699,,,,
Algeria,DZA,2014,0,63,144,40,2466,256,1168,6182,197,410,1167,110,14,7494,317,141,97,2510,2700,11448,6127,2.4,2.679999924,2.55,0.3558847,851.3517456,38923688,99.08701324,0.198344102,1.61E+11,-1.818697889,4123.45305,4.709,,,,
Algeria,DZA,2015,0,40,139,38,2396,271,1119,6047,187,406,1131,107,13,7299,309,140,93,2467,2640,11154,5946,2.370000076,2.660000038,2.520000076,0.3381789,838.5103149,39728020,99.18666077,-2.681638482,1.31E+11,-4.651942372,3304.972158,4.715,,,,
Algeria,DZA,2016,0,29,83,36,2294,264,1017,5826,192,398,1074,102,12,6947,298,138,89,2378,2527,10628,5629,2.329999924,2.620000076,2.479999924,0.3268976,768.076416,40551398,99.35025024,6.35734654,1.33E+11,4.197808187,3274.85627,4.717,16.11104012,,,
Algeria,DZA,2017,0,21,77,32,2154,273,916,5457,200,386,993,93,11,6392,281,131,85,2239,2380,9866,5209,2.279999924,2.579999924,2.429999924,0.3293159,737.0371704,41389174,99.63549042,4.866059679,1.38E+11,2.743420845,3341.453492,4.717,17.55604935,,,
Algeria,DZA,2018,0,20,70,29,2042,253,834,5177,129,373,921,88,10,5914,267,129,82,2120,2254,9200,4848,2.229999924,2.520000076,2.379999924,0.3223906,734.9904175,42228415,99.69783783,1.730397748,1.37E+11,-0.291376471,3241.892929,4.716,13.77495003,,,
Andorra,AND,1990,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1.269999981,1.739999962,1.510000038,,,54508,100,,,,,,,,,
Andorra,AND,1991,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1.2,1.629999924,1.419999981,,,56666,100,,,,,,,,,
Andorra,AND,1992,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1.130000019,1.519999981,1.330000019,,,58882,100,,,,,,,,,
Andorra,AND,1993,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1.060000038,1.419999981,1.239999962,,,60974,100,,,,,,,,,
Andorra,AND,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0.989999962,1.330000019,1.169999981,,,62676,100,,,,,,,,,
Andorra,AND,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0.939999962,1.260000038,1.1,,,63860,100,,,,,,,,,
Andorra,AND,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0.880000019,1.180000019,1.039999962,,,64363,100,,,,,,,,,
Andorra,AND,1997,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0.830000019,1.1,0.969999981,,,64318,100,,,,,,,,,
Andorra,AND,1998,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0.79000001,1.039999962,0.919999981,,,64140,100,,,,,,,,,
Andorra,AND,1999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0.74000001,0.980000019,0.860000038,,,64367,100,,,,,,,,,
